"category","region","state","year","amount"
"Population_(Thousands)","Plains","Missouri",2000,5607
"Population_(Thousands)","Rocky Mountains","Montana",2000,904
"Population_(Thousands)","Plains","Nebraska",2000,1714
"Population_(Thousands)","Far West","Nevada",2000,2019
"Population_(Thousands)","New England","New Hampshire",2000,1240
"Population_(Thousands)","Mideast","New Jersey",2000,8431
"Population_(Thousands)","Southwest","New Mexico",2000,1821
"Population_(Thousands)","Mideast","New York",2000,19002
"Population_(Thousands)","Southeast","North Carolina",2000,8082
"Population_(Thousands)","Plains","North Dakota",2000,642
"Population_(Thousands)","Great Lakes","Ohio",2000,11364
"Population_(Thousands)","Southwest","Oklahoma",2000,3454
"Population_(Thousands)","Far West","Oregon",2000,3430
"Population_(Thousands)","Mideast","Pennsylvania",2000,12284
"Population_(Thousands)","New England","Rhode Island",2000,1050
"Population_(Thousands)","Southeast","South Carolina",2000,4024
"Population_(Thousands)","Plains","South Dakota",2000,756
"Population_(Thousands)","Southeast","Tennessee",2000,5704
"Population_(Thousands)","Southwest","Texas",2000,20944
"Population_(Thousands)","Rocky Mountains","Utah",2000,2245
"Population_(Thousands)","New England","Vermont",2000,610
"Population_(Thousands)","Southeast","Virginia",2000,7106
"Population_(Thousands)","Far West","Washington",2000,5911
"Population_(Thousands)","Southeast","West Virginia",2000,1807
"Population_(Thousands)","Great Lakes","Wisconsin",2000,5374
